"","tSNE1","tSNE2","factor"
"TCGA-BJ-A2NA",10.8746199337147,-29.783964167282,"19"
"TCGA-CZ-5464",-2.87470411231598,-17.2834619642594,"4"
"TCGA-BJ-A0Z0",8.88875756587534,-33.6043597832829,"19"
"TCGA-55-6985",6.17708350468803,-5.24648645702458,"15"
"TCGA-QR-A6H6",-25.2240835972748,-12.210658911357,"13"
"TCGA-EJ-5507",-21.5922955836177,13.9503260873896,"5"
"TCGA-G3-A5SL",-0.972855679774712,32.6645271832618,"2"
"TCGA-GV-A3JX",13.428263544797,6.36823946255812,"20"
"TCGA-RN-AAAQ",0.160957003923463,-4.00776252958449,"14"
"TCGA-IB-AAUQ",1.80196006271641,7.38270562486111,"16"
"TCGA-AZ-4684",17.0937559390993,20.6571553536657,"10"
"TCGA-B6-A3ZX",0.686378406733257,1.37029562779923,"7"
"TCGA-XD-AAUG",0.436531240278779,5.94044317847764,"7"
"TCGA-DX-AB2X",-1.98922382858871,-5.13455923820731,"14"
"TCGA-B1-5398",-7.79992522129462,-22.0603981220846,"3"
"TCGA-BG-A18A",-9.9868833551677,19.6641769724427,"8"
"TCGA-WX-AA46",-1.75279835854347,31.1070093719033,"2"
"TCGA-DD-AAVY",-1.77576063533885,32.2130801223156,"2"
"TCGA-MY-A913",19.1679546876171,3.16653802185327,"9"
"TCGA-ZM-AA0F",18.8354114763857,-18.6711174865666,"17"
"TCGA-XD-AAUI",1.38304685083741,7.19962059341074,"16"
"TCGA-DS-A1OB",25.7303750197906,1.79315930681399,"9"
"TCGA-63-A5MM",17.0539238199959,1.69783397832275,"12"
"TCGA-GC-A6I3",0.08212808963047,1.5343681653546,"7"
"TCGA-RM-A68T",-24.2910495460019,-11.7916721287142,"13"
"TCGA-E9-A1RF",-14.7999468040925,-8.7841625452748,"7"
"TCGA-VS-A9UM",25.0677404720143,1.38912987102415,"9"
"TCGA-UY-A78M",10.4891760028285,2.43516864371797,"20"
"TCGA-DS-A0VM",22.4756842696047,5.84269157328101,"9"
"TCGA-L5-A4OH",10.7022443926786,14.9671639750948,"22"
"TCGA-L9-A444",6.67927185626957,-5.0289451784548,"15"
"TCGA-CM-6171",11.5070229226979,19.8357425198444,"10"
"TCGA-78-7540",3.20458863927582,12.4623814738261,"16"
