"","target","metric","Method","value","finetuning"
"257","Crizotinib","pearson_corr","GNN",0.260231506163578,"No Fine Tuning"
"258","Crizotinib","pearson_corr","GNN",0.259707562266049,"No Fine Tuning"
"259","Crizotinib","pearson_corr","GNN",0.349480912983025,"No Fine Tuning"
"260","Crizotinib","pearson_corr","GNN",0.299892680236585,"No Fine Tuning"
"261","Crizotinib","pearson_corr","GNN",0.175902601843857,"No Fine Tuning"
"262","Crizotinib","pearson_corr","GNN",0.23402017378854,"No Fine Tuning"
"263","Crizotinib","pearson_corr","GNN",0.213253576785691,"No Fine Tuning"
"264","Crizotinib","pearson_corr","GNN",0.309785658167318,"No Fine Tuning"
"265","Crizotinib","pearson_corr","GNN",0.430835084693018,"No Fine Tuning"
"266","Crizotinib","pearson_corr","GNN",0.413299867556633,"No Fine Tuning"
"267","Crizotinib","pearson_corr","GNN",0.304363641210092,"No Fine Tuning"
"268","Crizotinib","pearson_corr","GNN",0.141213989126859,"No Fine Tuning"
"269","Crizotinib","pearson_corr","GNN",0.316383577297509,"No Fine Tuning"
"270","Crizotinib","pearson_corr","GNN",0.31372417654515,"No Fine Tuning"
"271","Crizotinib","pearson_corr","GNN",0.521890396132296,"No Fine Tuning"
"272","Crizotinib","pearson_corr","GNN",0.195654998546617,"No Fine Tuning"
"273","Crizotinib","pearson_corr","GNN",0.411816186242579,"No Fine Tuning"
"274","Crizotinib","pearson_corr","GNN",0.236906343316782,"No Fine Tuning"
"275","Crizotinib","pearson_corr","GNN",0.152873270668387,"No Fine Tuning"
"276","Crizotinib","pearson_corr","GNN",0.281052635750574,"No Fine Tuning"
"277","Crizotinib","pearson_corr","GNN",0.307745197808051,"No Fine Tuning"
"278","Crizotinib","pearson_corr","GNN",0.344758837607445,"No Fine Tuning"
"279","Crizotinib","pearson_corr","GNN",0.317064383637378,"No Fine Tuning"
"280","Crizotinib","pearson_corr","GNN",0.151644682735602,"No Fine Tuning"
"281","Crizotinib","pearson_corr","GNN",0.290048975395649,"No Fine Tuning"
"282","Crizotinib","pearson_corr","GNN",0.234022915149924,"No Fine Tuning"
"283","Crizotinib","pearson_corr","GNN",0.369585300080761,"No Fine Tuning"
"284","Crizotinib","pearson_corr","GNN",0.252371269679004,"No Fine Tuning"
"285","Crizotinib","pearson_corr","GNN",0.108112677215036,"No Fine Tuning"
"286","Crizotinib","pearson_corr","GNN",0.408570978924635,"No Fine Tuning"
"287","Crizotinib","pearson_corr","GNN",0.306594888596147,"No Fine Tuning"
"288","Crizotinib","pearson_corr","GNN",0.424834327698742,"No Fine Tuning"
"289","Crizotinib","pearson_corr","GNN",0.295956648364446,"No Fine Tuning"
"290","Crizotinib","pearson_corr","GNN",0.321742243560832,"No Fine Tuning"
"291","Crizotinib","pearson_corr","GNN",0.467776667929434,"No Fine Tuning"
"292","Crizotinib","pearson_corr","GNN",0.184082851495752,"No Fine Tuning"
"293","Crizotinib","pearson_corr","GNN",0.220050310067655,"No Fine Tuning"
